Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,All Ages,"421,378","3,509,397","374,722","199,396","8,808","604,353",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,Under 1 year,44,"19,044",205,7,21,263,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,0-17 years,186,"33,504",558,32,176,888,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,1-4 years,23,"3,470",122,3,59,201,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,5-14 years,67,"5,623",157,13,75,286,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,15-24 years,601,"36,171",759,224,81,"1,212",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,18-29 years,"1,480","63,878","1,760",631,147,"2,745",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,25-34 years,"2,677","74,513","2,819","1,206",233,"4,506",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,30-49 years,"16,317","226,107","14,747","7,700",803,"24,079",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,35-44 years,"7,057","106,497","6,519","3,242",354,"10,654",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,45-54 years,"19,454","195,929","17,478","9,671",764,"27,913",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,50-64 years,"61,071","571,582","58,331","31,292","2,083","89,886",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,55-64 years,"49,131","453,824","47,337","25,289","1,622","72,563",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,65-74 years,"89,896","698,926","84,679","46,749","1,883","129,427",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,75-84 years,"117,104","856,102","105,607","57,895","1,911","166,469",
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,85 years and over,"135,324","1,059,298","109,040","55,097","1,805","190,859",
02/03/2021,01/01/2020,01/30/2021,United States,Male,All Ages,"228,825","1,834,618","208,471","114,501","4,551","326,632",
02/03/2021,01/01/2020,01/30/2021,United States,Male,Under 1 year,30,"10,536",121,5,10,156,
02/03/2021,01/01/2020,01/30/2021,United States,Male,0-17 years,109,"19,710",307,18,97,495,
02/03/2021,01/01/2020,01/30/2021,United States,Male,1-4 years,14,"2,001",58,2,38,108,
02/03/2021,01/01/2020,01/30/2021,United States,Male,5-14 years,38,"3,351",86,10,37,151,
02/03/2021,01/01/2020,01/30/2021,United States,Male,15-24 years,362,"26,761",457,131,38,722,
02/03/2021,01/01/2020,01/30/2021,United States,Male,18-29 years,926,"46,774","1,058",368,75,"1,683",
02/03/2021,01/01/2020,01/30/2021,United States,Male,25-34 years,"1,712","52,565","1,715",748,114,"2,782",
02/03/2021,01/01/2020,01/30/2021,United States,Male,30-49 years,"10,814","147,889","9,121","5,090",427,"15,210",
02/03/2021,01/01/2020,01/30/2021,United States,Male,35-44 years,"4,664","69,820","4,039","2,148",185,"6,715",
02/03/2021,01/01/2020,01/30/2021,United States,Male,45-54 years,"13,019","123,007","10,860","6,465",446,"17,783",
02/03/2021,01/01/2020,01/30/2021,United States,Male,50-64 years,"39,456","353,145","35,763","20,135","1,203","56,077",
02/03/2021,01/01/2020,01/30/2021,United States,Male,55-64 years,"31,466","279,477","28,913","16,102",934,"45,048",
02/03/2021,01/01/2020,01/30/2021,United States,Male,65-74 years,"55,160","406,425","51,278","29,064","1,051","78,239",
02/03/2021,01/01/2020,01/30/2021,United States,Male,75-84 years,"65,636","446,966","60,374","33,795",962,"93,030",
02/03/2021,01/01/2020,01/30/2021,United States,Male,85 years and over,"56,724","413,709","50,570","26,031",736,"81,898",
02/03/2021,01/01/2020,01/30/2021,United States,Female,All Ages,"192,545","1,674,673","166,245","84,890","4,257","277,712",
02/03/2021,01/01/2020,01/30/2021,United States,Female,Under 1 year,14,"8,475",84,2,11,107,
02/03/2021,01/01/2020,01/30/2021,United States,Female,0-17 years,77,"13,760",251,14,79,393,
02/03/2021,01/01/2020,01/30/2021,United States,Female,1-4 years,9,"1,469",64,1,21,93,
02/03/2021,01/01/2020,01/30/2021,United States,Female,5-14 years,29,"2,272",71,3,38,135,
02/03/2021,01/01/2020,01/30/2021,United States,Female,15-24 years,239,"9,408",302,93,43,490,
02/03/2021,01/01/2020,01/30/2021,United States,Female,18-29 years,554,"17,101",702,263,72,"1,062",
02/03/2021,01/01/2020,01/30/2021,United States,Female,25-34 years,965,"21,944","1,104",458,119,"1,724",
02/03/2021,01/01/2020,01/30/2021,United States,Female,30-49 years,"5,503","78,212","5,626","2,610",376,"8,869",
02/03/2021,01/01/2020,01/30/2021,United States,Female,35-44 years,"2,393","36,674","2,480","1,094",169,"3,939",
02/03/2021,01/01/2020,01/30/2021,United States,Female,45-54 years,"6,434","72,918","6,617","3,205",318,"10,129",
02/03/2021,01/01/2020,01/30/2021,United States,Female,50-64 years,"21,614","218,426","22,567","11,156",880,"33,808",
02/03/2021,01/01/2020,01/30/2021,United States,Female,55-64 years,"17,665","174,339","18,424","9,187",688,"27,515",
02/03/2021,01/01/2020,01/30/2021,United States,Female,65-74 years,"34,734","292,492","33,400","17,684",832,"51,186",
02/03/2021,01/01/2020,01/30/2021,United States,Female,75-84 years,"51,465","409,124","45,230","24,098",949,"73,435",
02/03/2021,01/01/2020,01/30/2021,United States,Female,85 years and over,"78,598","645,558","58,469","29,065","1,069","108,959",
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,All Ages,8,106,6,5,0,9,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,Under 1 year,0,33,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,0-17 years,0,34,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,15-24 years,0,2,0,0,0,0,
